"No.","Time","Source","Destination","Protocol","Length","Info"
"492","4.287513","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"499","4.291073","213.57.24.219","10.0.2.15","TLSv1.2","11734","Application Data [TCP segment of a reassembled PDU]"
"500","4.291394","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"510","4.293589","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"522","4.296662","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"526","4.298903","213.57.24.219","10.0.2.15","TLSv1.2","3870","Application Data"
"555","5.777854","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"557","5.777854","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"559","5.779225","35.186.224.40","10.0.2.15","TLSv1.2","2878","Application Data, Application Data"
"561","5.779225","35.186.224.40","10.0.2.15","TLSv1.2","2878","Application Data, Application Data"
"564","5.779861","35.186.224.40","10.0.2.15","TLSv1.2","5472","Application Data, Application Data, Application Data, Application Data"
"566","5.780153","35.186.224.40","10.0.2.15","TLSv1.2","2878","Application Data, Application Data"
"568","5.780432","35.186.224.40","10.0.2.15","TLSv1.2","818","Application Data"
"571","5.789901","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"573","5.790441","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"575","5.791071","35.186.224.40","10.0.2.15","TLSv1.2","2878","Application Data, Application Data"
"577","5.791533","35.186.224.40","10.0.2.15","TLSv1.2","2878","Application Data, Application Data"
"579","5.792274","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"581","5.793132","35.186.224.40","10.0.2.15","TLSv1.2","2878","Application Data, Application Data"
"583","5.793132","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"585","5.793970","35.186.224.40","10.0.2.15","TLSv1.2","2878","Application Data, Application Data"
"587","5.794204","35.186.224.40","10.0.2.15","TLSv1.2","2878","Application Data, Application Data"
"589","5.797380","35.186.224.40","10.0.2.15","TLSv1.2","2892","Application Data, Application Data, Application Data"
"614","6.170572","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"616","6.241094","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"620","6.426204","10.0.2.15","34.120.195.249","TLSv1.2","152","Application Data"
"621","6.426333","10.0.2.15","34.120.195.249","TLSv1.2","85","Application Data"
"622","6.426369","10.0.2.15","34.120.195.249","TLSv1.2","556","Application Data"
"624","6.426440","10.0.2.15","34.120.195.249","TLSv1.2","225","Application Data"
"628","6.442345","34.120.195.249","10.0.2.15","TLSv1.2","85","Application Data"
"635","6.500003","34.120.195.249","10.0.2.15","TLSv1.2","357","Application Data"
"637","6.500187","34.120.195.249","10.0.2.15","TLSv1.2","157","Application Data, Application Data, Application Data"
"639","6.501162","10.0.2.15","34.120.195.249","TLSv1.2","93","Application Data"
"654","9.250473","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"656","9.324737","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"730","12.331684","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"732","12.404943","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"734","12.795474","10.0.2.15","213.57.24.219","TLSv1.2","847","Application Data"
"736","12.837609","213.57.24.219","10.0.2.15","TLSv1.2","633","Application Data"
"748","12.846886","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"760","12.852644","213.57.24.219","10.0.2.15","TLSv1.2","4434","Application Data [TCP segment of a reassembled PDU]"
"762","12.855084","213.57.24.219","10.0.2.15","TLSv1.2","30714","Application Data, Application Data"
"766","12.855962","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"770","12.856592","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"782","12.859076","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"790","12.861478","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"794","12.863509","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"800","12.865121","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"806","12.870716","213.57.24.219","10.0.2.15","TLSv1.2","20494","Application Data [TCP segment of a reassembled PDU]"
"808","12.871177","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"810","12.871327","213.57.24.219","10.0.2.15","TLSv1.2","341","Application Data"
"832","15.414206","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"834","15.485488","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"851","18.218254","10.0.2.15","149.154.167.99","TLSv1.2","509","Application Data"
"853","18.303759","149.154.167.99","10.0.2.15","TLSv1.2","217","Application Data"
"855","18.491895","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"857","18.565132","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"863","21.571668","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"865","21.641436","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"880","22.627789","10.0.2.15","213.57.24.219","TLSv1.2","847","Application Data"
