"No.","Time","Source","Destination","Protocol","Length","Info"
"1506","163.948498","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=54109 Ack=37870 Win=65535 Len=0"
"1509","164.035793","149.154.167.99","10.0.2.15","TLSv1.2","473","Application Data"
"1510","164.083502","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=37870 Ack=54528 Win=65535 Len=0"
"1511","164.324569","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1512","164.324917","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=54528 Ack=38069 Win=65535 Len=0"
"1513","164.432291","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1514","164.432327","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=38069 Ack=54673 Win=65535 Len=0"
"1515","164.808393","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1516","164.808739","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=54673 Ack=38252 Win=65535 Len=0"
"1517","164.888290","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1518","164.888323","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=38252 Ack=54786 Win=65535 Len=0"
"1519","164.972719","149.154.167.99","10.0.2.15","TLSv1.2","393","Application Data"
"1520","164.972748","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=38252 Ack=55125 Win=65535 Len=0"
"1521","165.547998","34.117.65.55","10.0.2.15","TLSv1.2","925","Application Data"
"1522","165.554253","10.0.2.15","34.117.65.55","TLSv1.2","398","Application Data"
"1523","165.554665","34.117.65.55","10.0.2.15","TCP","60","443  >  35990 [ACK] Seq=37458 Ack=14133 Win=65535 Len=0"
"1524","165.728146","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1525","165.728549","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=55125 Ack=38451 Win=65535 Len=0"
"1526","165.822905","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1527","165.822935","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=38451 Ack=55238 Win=65535 Len=0"
"1528","165.826389","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1529","165.826704","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=55238 Ack=38650 Win=65535 Len=0"
"1530","165.932468","149.154.167.99","10.0.2.15","TLSv1.2","457","Application Data"
"1531","165.978496","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=38650 Ack=55641 Win=65535 Len=0"
"1532","166.250286","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1533","166.250671","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=55641 Ack=38849 Win=65535 Len=0"
"1534","166.345391","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1535","166.345421","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=38849 Ack=55786 Win=65535 Len=0"
"1591","167.896588","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1592","167.896878","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=55786 Ack=39032 Win=65535 Len=0"
"1593","167.987540","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1594","167.987598","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=39032 Ack=55899 Win=65535 Len=0"
"1603","170.995542","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1604","170.995892","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=55899 Ack=39215 Win=65535 Len=0"
"1605","171.095094","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1606","171.095122","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=39215 Ack=56012 Win=65535 Len=0"
"1613","174.103018","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1614","174.103427","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=56012 Ack=39398 Win=65535 Len=0"
"1615","174.180027","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1616","174.180056","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=39398 Ack=56125 Win=65535 Len=0"
"1617","174.871458","10.0.2.15","149.154.167.99","TLSv1.2","429","Application Data"
"1618","174.871883","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=56125 Ack=39773 Win=65535 Len=0"
"1619","175.043157","149.154.167.99","10.0.2.15","TLSv1.2","217","Application Data"
"1620","175.043196","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=39773 Ack=56288 Win=65535 Len=0"
"1673","177.200150","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1674","177.200587","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=56288 Ack=39956 Win=65535 Len=0"
"1675","177.277369","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1676","177.277402","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=39956 Ack=56401 Win=65535 Len=0"
"1688","180.284321","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1689","180.284795","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=56401 Ack=40139 Win=65535 Len=0"
"1690","180.368473","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1691","180.368500","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=40139 Ack=56514 Win=65535 Len=0"
"1692","181.607898","149.154.167.99","10.0.2.15","TLSv1.2","569","Application Data"
"1693","181.607942","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=40139 Ack=57029 Win=65535 Len=0"
"1694","181.848195","34.117.65.55","10.0.2.15","TLSv1.2","1065","Application Data"
"1695","181.856976","10.0.2.15","34.117.65.55","TLSv1.2","398","Application Data"
"1696","181.857222","34.117.65.55","10.0.2.15","TCP","60","443  >  35990 [ACK] Seq=38469 Ack=14477 Win=65535 Len=0"
"1697","182.058202","10.0.2.15","149.154.167.99","TLSv1.3","317","Application Data"
"1698","182.058625","149.154.167.99","10.0.2.15","TCP","60","443  >  36276 [ACK] Seq=6208 Ack=2175 Win=65535 Len=0"
"1699","182.198755","149.154.167.99","10.0.2.15","TCP","2534","443  >  36276 [PSH, ACK] Seq=6208 Ack=2175 Win=65535 Len=2480 [TCP segment of a reassembled PDU]"
"1700","182.198833","10.0.2.15","149.154.167.99","TCP","54","36276  >  443 [ACK] Seq=2175 Ack=8688 Win=62780 Len=0"
"1701","182.198965","149.154.167.99","10.0.2.15","TCP","2534","443  >  36276 [PSH, ACK] Seq=8688 Ack=2175 Win=65535 Len=2480 [TCP segment of a reassembled PDU]"
"1702","182.199027","10.0.2.15","149.154.167.99","TCP","54","36276  >  443 [ACK] Seq=2175 Ack=11168 Win=62780 Len=0"
"1703","182.198965","149.154.167.99","10.0.2.15","TLSv1.3","316","Application Data"
"1704","182.199075","10.0.2.15","149.154.167.99","TCP","54","36276  >  443 [ACK] Seq=2175 Ack=11430 Win=62518 Len=0"
"1707","182.420942","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1708","182.421217","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=57029 Ack=40338 Win=65535 Len=0"
"1709","182.525989","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1710","182.526017","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=40338 Ack=57142 Win=65535 Len=0"
"1711","182.537531","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1712","182.537907","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=57142 Ack=40537 Win=65535 Len=0"
"1713","182.637031","149.154.167.99","10.0.2.15","TLSv1.2","668","Application Data"
"1714","182.679418","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=40537 Ack=57756 Win=65535 Len=0"
"1715","182.850966","149.154.167.99","10.0.2.15","TLSv1.2","393","Application Data"
"1716","182.851070","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=40537 Ack=58095 Win=65535 Len=0"
"1717","182.924644","10.0.2.15","149.154.167.99","TLSv1.2","269","Application Data"
"1718","182.925084","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=58095 Ack=40752 Win=65535 Len=0"
"1719","183.081819","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1720","183.081884","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=40752 Ack=58240 Win=65535 Len=0"
"1721","183.106304","34.117.65.55","10.0.2.15","TLSv1.2","924","Application Data"
"1722","183.114215","10.0.2.15","34.117.65.55","TLSv1.2","398","Application Data"
"1723","183.114498","34.117.65.55","10.0.2.15","TCP","60","443  >  35990 [ACK] Seq=39339 Ack=14821 Win=65535 Len=0"
"1726","183.381721","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1727","183.382030","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=58240 Ack=40935 Win=65535 Len=0"
"1728","183.507026","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
