"No.","Time","Source","Destination","Protocol","Length","Info"
"1135","94.475971","10.0.2.15","149.154.167.99","TLSv1.2","187","Application Data"
"1136","94.476326","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=23215 Ack=16928 Win=65535 Len=0"
"1137","94.559835","149.154.167.99","10.0.2.15","TLSv1.2","281","Application Data"
"1138","94.559868","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=16928 Ack=23442 Win=65535 Len=0"
"1139","94.578628","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1140","94.578867","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=16928 Ack=23555 Win=65535 Len=0"
"1143","94.605951","10.0.2.15","149.154.167.99","TLSv1.2","269","Application Data"
"1144","94.606387","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=23555 Ack=17143 Win=65535 Len=0"
"1145","94.705541","149.154.167.99","10.0.2.15","TLSv1.2","473","Application Data"
"1146","94.747694","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=17143 Ack=23974 Win=65535 Len=0"
"1147","94.991921","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1148","94.992409","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=23974 Ack=17342 Win=65535 Len=0"
"1151","95.083893","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1152","95.083927","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=17342 Ack=24119 Win=65535 Len=0"
"1153","95.190364","149.154.167.99","10.0.2.15","TLSv1.2","393","Application Data"
"1154","95.190400","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=17342 Ack=24458 Win=65535 Len=0"
"1160","95.657938","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1161","95.658269","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=24458 Ack=17525 Win=65535 Len=0"
"1162","95.734605","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1163","95.734638","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=17525 Ack=24571 Win=65535 Len=0"
"1164","95.991036","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1165","95.991376","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=24571 Ack=17724 Win=65535 Len=0"
"1166","96.091953","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1167","96.091982","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=17724 Ack=24684 Win=65535 Len=0"
"1168","96.094394","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
